src,placement,service_area,seo_title,alt_text
/images/photos/portfolio/surrey/surrey-house-painting-project-01.jpg,portfolio,Surrey,Surrey House Painting Project Photo 01 | Shape of Paint,Surrey residential painting project by Shape of Paint photo 01
/images/photos/portfolio/surrey/surrey-house-painting-project-02.jpg,portfolio,Surrey,Surrey House Painting Project Photo 02 | Shape of Paint,Surrey residential painting project by Shape of Paint photo 02
/images/photos/portfolio/surrey/surrey-house-painting-project-03.jpg,portfolio,Surrey,Surrey House Painting Project Photo 03 | Shape of Paint,Surrey residential painting project by Shape of Paint photo 03
/images/photos/portfolio/surrey/surrey-house-painting-project-04.jpg,portfolio,Surrey,Surrey House Painting Project Photo 04 | Shape of Paint,Surrey residential painting project by Shape of Paint photo 04
/images/photos/portfolio/surrey/surrey-house-painting-project-05.jpg,portfolio,Surrey,Surrey House Painting Project Photo 05 | Shape of Paint,Surrey residential painting project by Shape of Paint photo 05
/images/photos/portfolio/surrey/surrey-house-painting-project-06.jpg,portfolio,Surrey,Surrey House Painting Project Photo 06 | Shape of Paint,Surrey residential painting project by Shape of Paint photo 06
/images/photos/portfolio/surrey/surrey-house-painting-project-07.jpg,portfolio,Surrey,Surrey House Painting Project Photo 07 | Shape of Paint,Surrey residential painting project by Shape of Paint photo 07
/images/photos/portfolio/surrey/surrey-house-painting-project-08.jpg,portfolio,Surrey,Surrey House Painting Project Photo 08 | Shape of Paint,Surrey residential painting project by Shape of Paint photo 08
/images/photos/portfolio/surrey/surrey-house-painting-project-09.jpg,portfolio,Surrey,Surrey House Painting Project Photo 09 | Shape of Paint,Surrey residential painting project by Shape of Paint photo 09
/images/photos/portfolio/surrey/surrey-house-painting-project-10.jpg,portfolio,Surrey,Surrey House Painting Project Photo 10 | Shape of Paint,Surrey residential painting project by Shape of Paint photo 10
/images/photos/portfolio/surrey/surrey-house-painting-project-11.jpg,portfolio,Surrey,Surrey House Painting Project Photo 11 | Shape of Paint,Surrey residential painting project by Shape of Paint photo 11
/images/photos/portfolio/surrey/surrey-house-painting-project-12.jpg,portfolio,Surrey,Surrey House Painting Project Photo 12 | Shape of Paint,Surrey residential painting project by Shape of Paint photo 12
/images/photos/portfolio/fort-langley/fort-langley-house-painting-project-01.jpg,portfolio,Fort Langley,Fort Langley House Painting Project Photo 01 | Shape of Paint,Fort Langley residential painting project by Shape of Paint photo 01
/images/photos/portfolio/fort-langley/fort-langley-house-painting-project-02.jpg,portfolio,Fort Langley,Fort Langley House Painting Project Photo 02 | Shape of Paint,Fort Langley residential painting project by Shape of Paint photo 02
/images/photos/portfolio/fort-langley/fort-langley-house-painting-project-03.jpg,portfolio,Fort Langley,Fort Langley House Painting Project Photo 03 | Shape of Paint,Fort Langley residential painting project by Shape of Paint photo 03
/images/photos/portfolio/fort-langley/fort-langley-house-painting-project-04.jpg,portfolio,Fort Langley,Fort Langley House Painting Project Photo 04 | Shape of Paint,Fort Langley residential painting project by Shape of Paint photo 04
/images/photos/portfolio/fort-langley/fort-langley-house-painting-project-05.jpg,portfolio,Fort Langley,Fort Langley House Painting Project Photo 05 | Shape of Paint,Fort Langley residential painting project by Shape of Paint photo 05
/images/photos/portfolio/fort-langley/fort-langley-house-painting-project-06.jpg,portfolio,Fort Langley,Fort Langley House Painting Project Photo 06 | Shape of Paint,Fort Langley residential painting project by Shape of Paint photo 06
/images/photos/portfolio/fort-langley/fort-langley-house-painting-project-07.jpg,portfolio,Fort Langley,Fort Langley House Painting Project Photo 07 | Shape of Paint,Fort Langley residential painting project by Shape of Paint photo 07
/images/photos/portfolio/fort-langley/fort-langley-house-painting-project-08.jpg,portfolio,Fort Langley,Fort Langley House Painting Project Photo 08 | Shape of Paint,Fort Langley residential painting project by Shape of Paint photo 08
/images/photos/portfolio/abbotsford/abbotsford-house-painting-project-01.jpg,portfolio,Abbotsford,Abbotsford House Painting Project Photo 01 | Shape of Paint,Abbotsford residential painting project by Shape of Paint photo 01
/images/photos/portfolio/abbotsford/abbotsford-house-painting-project-02.jpg,portfolio,Abbotsford,Abbotsford House Painting Project Photo 02 | Shape of Paint,Abbotsford residential painting project by Shape of Paint photo 02
/images/photos/portfolio/abbotsford/abbotsford-house-painting-project-03.jpg,portfolio,Abbotsford,Abbotsford House Painting Project Photo 03 | Shape of Paint,Abbotsford residential painting project by Shape of Paint photo 03
/images/photos/portfolio/abbotsford/abbotsford-house-painting-project-04.jpg,portfolio,Abbotsford,Abbotsford House Painting Project Photo 04 | Shape of Paint,Abbotsford residential painting project by Shape of Paint photo 04
/images/photos/portfolio/abbotsford/abbotsford-house-painting-project-05.jpg,portfolio,Abbotsford,Abbotsford House Painting Project Photo 05 | Shape of Paint,Abbotsford residential painting project by Shape of Paint photo 05
/images/photos/portfolio/abbotsford/abbotsford-house-painting-project-06.jpg,portfolio,Abbotsford,Abbotsford House Painting Project Photo 06 | Shape of Paint,Abbotsford residential painting project by Shape of Paint photo 06
/images/photos/portfolio/abbotsford/abbotsford-house-painting-project-07.jpg,portfolio,Abbotsford,Abbotsford House Painting Project Photo 07 | Shape of Paint,Abbotsford residential painting project by Shape of Paint photo 07
/images/photos/portfolio/abbotsford/abbotsford-house-painting-project-08.jpg,portfolio,Abbotsford,Abbotsford House Painting Project Photo 08 | Shape of Paint,Abbotsford residential painting project by Shape of Paint photo 08
/images/photos/portfolio/abbotsford/abbotsford-house-painting-project-09.jpg,portfolio,Abbotsford,Abbotsford House Painting Project Photo 09 | Shape of Paint,Abbotsford residential painting project by Shape of Paint photo 09
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-01.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 01 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 01
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-02.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 02 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 02
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-03.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 03 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 03
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-04.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 04 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 04
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-05.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 05 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 05
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-06.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 06 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 06
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-07.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 07 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 07
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-08.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 08 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 08
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-09.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 09 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 09
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-10.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 10 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 10
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-11.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 11 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 11
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-12.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 12 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 12
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-13.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 13 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 13
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-14.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 14 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 14
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-15.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 15 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 15
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-16.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 16 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 16
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-17.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 17 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 17
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-18.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 18 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 18
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-project-19.jpg,portfolio,West Vancouver,West Vancouver House Painting Project Photo 19 | Shape of Paint,West Vancouver residential painting project by Shape of Paint photo 19
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-reference-01.png,portfolio,West Vancouver,West Vancouver House Painting Reference Image 01 | Shape of Paint,West Vancouver house painting reference image 01
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-reference-02.png,portfolio,West Vancouver,West Vancouver House Painting Reference Image 02 | Shape of Paint,West Vancouver house painting reference image 02
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-reference-03.png,portfolio,West Vancouver,West Vancouver House Painting Reference Image 03 | Shape of Paint,West Vancouver house painting reference image 03
/images/photos/portfolio/west-vancouver/west-vancouver-house-painting-reference-04.png,portfolio,West Vancouver,West Vancouver House Painting Reference Image 04 | Shape of Paint,West Vancouver house painting reference image 04
/images/photos/about/team/vancouver-painting-team-photo-01.jpg,about-team,Vancouver,Vancouver Painting Team Photo 01 | Shape of Paint,Shape of Paint Vancouver painting team photo 01
/images/photos/about/team/gabe-penner-vancouver-painting-contractor-headshot.jpeg,about-team,Vancouver,Gabe Penner Vancouver Painting Contractor Headshot | Shape of Paint,Gabe Penner headshot for Shape of Paint Vancouver painting team
/images/photos/about/team/vancouver-painting-team-photo-02.jpg,about-team,Vancouver,Vancouver Painting Team Photo 02 | Shape of Paint,Shape of Paint Vancouver painting team photo 02
/images/photos/about/team/vancouver-painting-team-photo-03.jpeg,about-team,Vancouver,Vancouver Painting Team Photo 03 | Shape of Paint,Shape of Paint Vancouver painting team photo 03
/images/photos/about/team/vancouver-painting-team-photo-04.jpeg,about-team,Vancouver,Vancouver Painting Team Photo 04 | Shape of Paint,Shape of Paint Vancouver painting team photo 04
